iter	Logloss
0	0.6358530965
1	0.5893776938
2	0.5497426942
3	0.5188972182
4	0.4935967022
5	0.4706620991
6	0.4538549475
7	0.4397881239
8	0.4268692803
9	0.4156419518
10	0.405504756
11	0.3958602634
12	0.3892574117
13	0.3833355072
14	0.3776958756
15	0.3732808737
16	0.3705054241
17	0.3668206013
18	0.363629546
19	0.3602555001
20	0.3566654069
21	0.3536227108
22	0.3513608495
23	0.34980508
24	0.3481889943
25	0.3477049619
26	0.3464831741
27	0.3444734832
28	0.3433551467
29	0.3417578544
30	0.3407909513
31	0.3398413877
32	0.3387931382
33	0.3376550774
34	0.337059599
35	0.3358317714
36	0.3353735654
37	0.3343702909
38	0.3339732679
39	0.3333097008
40	0.3324313534
41	0.3313855238
42	0.3302445002
43	0.3296844279
44	0.3293201183
45	0.3288217199
46	0.3277253767
47	0.3271908174
48	0.3264639079
49	0.3259353843
50	0.324951124
51	0.3238505258
52	0.3231703741
53	0.3225788049
54	0.3221848078
55	0.3216023473
56	0.321248257
57	0.3207209519
58	0.3202490985
59	0.3199530994
60	0.3191118937
61	0.3187109907
62	0.3180511631
63	0.3176712966
64	0.3171938696
65	0.3167321718
66	0.3164689591
67	0.3156718325
68	0.3153040732
69	0.3150205908
70	0.3145088933
71	0.313912467
72	0.3134208532
73	0.3125138076
74	0.312178014
75	0.3115231203
76	0.3110415664
77	0.3107735975
78	0.3104482773
79	0.3095760934
80	0.3092603866
81	0.3087128606
82	0.308124551
83	0.307533844
84	0.3072455989
85	0.3068714961
86	0.3062646177
87	0.305771428
88	0.3052468005
89	0.3047956014
90	0.3044777148
91	0.3041593926
92	0.3036293017
93	0.3032199926
94	0.3027404723
95	0.3022714608
96	0.3017271927
97	0.301368372
98	0.3009706722
99	0.3006766216
100	0.3002150442
101	0.2999009272
102	0.2996051931
103	0.2992392379
104	0.2989715543
105	0.2987035213
106	0.2984911086
107	0.2980140347
108	0.297717555
109	0.2972769167
110	0.2968745074
111	0.2963517965
112	0.2960322736
113	0.2957648597
114	0.2954197039
115	0.2951841195
116	0.2948595051
117	0.2942945449
118	0.2940730824
119	0.2935945545
120	0.2933913891
121	0.2930500429
122	0.2929048998
123	0.2928347095
124	0.2923952524
125	0.2921857869
126	0.292122283
127	0.2917337965
128	0.2915265847
129	0.2911918584
130	0.2909602065
131	0.2907527065
132	0.290487238
133	0.290252991
134	0.2900344212
135	0.2896736181
136	0.289421893
137	0.289050907
138	0.288906065
139	0.2884025551
140	0.2879974454
141	0.2877419292
142	0.2872748569
143	0.287073243
144	0.2866850491
145	0.2863092865
146	0.2860947788
147	0.2858150337
148	0.2857002234
149	0.2853718387
2744318682
